class,year,month,day
7.587999999999999,1820,10,1
4.4430000000000005,1820,11,1
1.273,1820,12,1
2.999,1821,1,1
3.758,1821,2,1
5.4620000000000015,1821,3,1
7.738999999999999,1821,4,1
11.3,1821,5,1
12.607999999999999,1821,6,1
13.039,1821,7,1
13.145,1821,8,1
10.177999999999999,1821,9,1
8.535,1821,10,1
5.601,1821,11,1
2.717,1821,12,1
2.759,1822,1,1
4.465,1822,2,1
7.787000000000001,1822,3,1
8.277999999999999,1822,4,1
10.485999999999999,1822,5,1
13.067,1822,6,1
14.212,1822,7,1
13.215,1822,8,1
10.695,1822,9,1
7.773999999999999,1822,10,1
4.501,1822,11,1
1.0210000000000004,1822,12,1
1.758,1823,1,1
1.966,1823,2,1
5.0680000000000005,1823,3,1
7.664999999999999,1823,4,1
10.562999999999999,1823,5,1
13.958,1823,6,1
14.197000000000001,1823,7,1
13.13,1823,8,1
10.198,1823,9,1
7.641999999999999,1823,10,1
4.508,1823,11,1
1.9709999999999999,1823,12,1
2.6510000000000002,1824,1,1
2.679,1824,2,1
5.357,1824,3,1
8.375,1824,4,1
11.132,1824,5,1
13.427,1824,6,1
14.83,1824,7,1
13.437,1824,8,1
11.527999999999999,1824,9,1
8.197000000000001,1824,10,1
5.877000000000002,1824,11,1
5.0760000000000005,1824,12,1
3.213,1825,1,1
3.092,1825,2,1
5.365,1825,3,1
8.988,1825,4,1
10.751,1825,5,1
13.765,1825,6,1
14.007,1825,7,1
13.269,1825,8,1
11.148,1825,9,1
7.978999999999999,1825,10,1
6.058,1825,11,1
3.037,1825,12,1
1.893,1826,1,1
1.5330000000000001,1826,2,1
4.888,1826,3,1
8.402999999999999,1826,4,1
11.803999999999998,1826,5,1
13.02,1826,6,1
14.482,1826,7,1
13.109000000000002,1826,8,1
11.177999999999999,1826,9,1
8.459,1826,10,1
6.634,1826,11,1
4.876,1826,12,1
3.593,1827,1,1
4.415,1827,2,1
6.141,1827,3,1
9.428999999999998,1827,4,1
11.807,1827,5,1
13.548,1827,6,1
14.684,1827,7,1
13.694,1827,8,1
10.883,1827,9,1
8.51,1827,10,1
6.279,1827,11,1
2.722,1827,12,1
0.5950000000000002,1828,1,1
1.853,1828,2,1
5.729,1828,3,1
8.737,1828,4,1
11.280999999999999,1828,5,1
14.124,1828,6,1
14.384,1828,7,1
13.635,1828,8,1
10.079999999999998,1828,9,1
8.655999999999999,1828,10,1
5.957000000000002,1828,11,1
2.9530000000000003,1828,12,1
2.032,1829,1,1
1.715,1829,2,1
5.061,1829,3,1
7.814999999999999,1829,4,1
11.335999999999999,1829,5,1
12.86,1829,6,1
14.225,1829,7,1
13.399,1829,8,1
10.597999999999999,1829,9,1
8.806000000000003,1829,10,1
5.003,1829,11,1
2.452,1829,12,1
2.9570000000000003,1830,1,1
4.085,1830,2,1
4.4540000000000015,1830,3,1
8.841000000000003,1830,4,1
10.202,1830,5,1
12.827,1830,6,1
14.942,1830,7,1
13.386,1830,8,1
10.54,1830,9,1
7.9929999999999986,1830,10,1
7.4929999999999986,1830,11,1
4.481,1830,12,1
2.182,1831,1,1
2.479,1831,2,1
4.558,1831,3,1
7.731,1831,4,1
10.994000000000002,1831,5,1
13.203,1831,6,1
13.58,1831,7,1
12.49,1831,8,1
9.946,1831,9,1
7.83,1831,10,1
4.412,1831,11,1
2.265,1831,12,1
1.717,1832,1,1
1.8330000000000002,1832,2,1
4.65,1832,3,1
8.059,1832,4,1
10.489,1832,5,1
12.857,1832,6,1
13.727,1832,7,1
11.966,1832,8,1
10.425999999999998,1832,9,1
8.634,1832,10,1
4.2620000000000005,1832,11,1
0.7819999999999996,1832,12,1
2.006,1833,1,1
2.815,1833,2,1
4.521,1833,3,1
7.869,1833,4,1
10.581,1833,5,1
13.049,1833,6,1
13.803,1833,7,1
13.222,1833,8,1
11.235999999999999,1833,9,1
7.899999999999999,1833,10,1
6.596,1833,11,1
2.5580000000000003,1833,12,1
0.3340000000000001,1834,1,1
2.329,1834,2,1
5.7360000000000015,1834,3,1
8.084999999999999,1834,4,1
11.234000000000002,1834,5,1
12.799,1834,6,1
14.197000000000001,1834,7,1
13.412,1834,8,1
11.571,1834,9,1
8.616999999999999,1834,10,1
6.355,1834,11,1
3.092,1834,12,1
2.551,1835,1,1
2.967,1835,2,1
4.507,1835,3,1
7.768999999999999,1835,4,1
10.171,1835,5,1
12.007,1835,6,1
13.129,1835,7,1
12.322,1835,8,1
9.942,1835,9,1
7.834999999999999,1835,10,1
4.312,1835,11,1
1.198,1835,12,1
1.67,1836,1,1
2.371,1836,2,1
5.448,1836,3,1
7.314999999999999,1836,4,1
10.279000000000002,1836,5,1
12.549,1836,6,1
13.646,1836,7,1
12.83,1836,8,1
10.812,1836,9,1
8.756,1836,10,1
3.814,1836,11,1
2.86,1836,12,1
1.94,1837,1,1
2.6189999999999998,1837,2,1
3.865,1837,3,1
6.555999999999999,1837,4,1
9.972999999999999,1837,5,1
12.099,1837,6,1
13.526,1837,7,1
13.018,1837,8,1
10.805,1837,9,1
7.653,1837,10,1
4.1690000000000005,1837,11,1
2.285,1837,12,1
-0.5569999999999999,1838,1,1
1.5630000000000002,1838,2,1
3.723,1838,3,1
7.382999999999999,1838,4,1
9.985,1838,5,1
12.742,1838,6,1
14.367,1838,7,1
13.568,1838,8,1
11.106,1838,9,1
8.526,1838,10,1
5.16,1838,11,1
2.613,1838,12,1
2.156,1839,1,1
3.482,1839,2,1
2.673,1839,3,1
7.891999999999999,1839,4,1
10.289,1839,5,1
12.548,1839,6,1
14.411,1839,7,1
14.07,1839,8,1
10.853,1839,9,1
8.219,1839,10,1
3.92,1839,11,1
1.0739999999999998,1839,12,1
2.5610000000000004,1840,1,1
2.1020000000000003,1840,2,1
4.04,1840,3,1
7.943,1840,4,1
11.173,1840,5,1
13.411,1840,6,1
14.714,1840,7,1
13.086,1840,8,1
11.01,1840,9,1
7.505,1840,10,1
4.101,1840,11,1
1.909,1840,12,1
0.6490000000000002,1841,1,1
2.468,1841,2,1
3.307,1841,3,1
6.77,1841,4,1
10.764,1841,5,1
13.062,1841,6,1
14.552,1841,7,1
13.708,1841,8,1
10.921,1841,9,1
8.764999999999999,1841,10,1
4.744,1841,11,1
2.548,1841,12,1
1.636,1842,1,1
2.787,1842,2,1
5.75,1842,3,1
8.309999999999999,1842,4,1
10.535,1842,5,1
12.629,1842,6,1
13.584,1842,7,1
13.241,1842,8,1
10.94,1842,9,1
8.307,1842,10,1
4.824,1842,11,1
3.73,1842,12,1
2.974,1843,1,1
3.92,1843,2,1
4.744,1843,3,1
7.829999999999999,1843,4,1
10.04,1843,5,1
12.53,1843,6,1
13.991,1843,7,1
13.295,1843,8,1
11.325999999999999,1843,9,1
8.722000000000001,1843,10,1
4.947,1843,11,1
3.765,1843,12,1
1.868,1844,1,1
2.0380000000000003,1844,2,1
4.734,1844,3,1
7.3889999999999985,1844,4,1
10.109,1844,5,1
12.84,1844,6,1
13.921,1844,7,1
13.046,1844,8,1
10.819,1844,9,1
8.7,1844,10,1
4.401,1844,11,1
1.891,1844,12,1
2.661,1845,1,1
1.6269999999999998,1845,2,1
4.651,1845,3,1
8.158,1845,4,1
10.433,1845,5,1
12.863,1845,6,1
14.319,1845,7,1
13.556,1845,8,1
11.234000000000002,1845,9,1
7.781999999999999,1845,10,1
5.194,1845,11,1
1.7359999999999998,1845,12,1
3.213,1846,1,1
3.3760000000000003,1846,2,1
6.314,1846,3,1
7.472999999999999,1846,4,1
10.895999999999999,1846,5,1
13.53,1846,6,1
14.923,1846,7,1
14.121,1846,8,1
11.738,1846,9,1
8.229,1846,10,1
5.0440000000000005,1846,11,1
3.776,1846,12,1
2.753,1847,1,1
3.602,1847,2,1
4.046,1847,3,1
7.979999999999999,1847,4,1
10.622,1847,5,1
12.828,1847,6,1
14.25,1847,7,1
13.414,1847,8,1
11.619000000000002,1847,9,1
8.618,1847,10,1
5.574,1847,11,1
1.7259999999999998,1847,12,1
0.5100000000000002,1848,1,1
3.726,1848,2,1
4.806,1848,3,1
8.11,1848,4,1
10.579999999999998,1848,5,1
13.247,1848,6,1
14.466,1848,7,1
13.268,1848,8,1
10.997,1848,9,1
8.655,1848,10,1
5.29,1848,11,1
2.099,1848,12,1
1.941,1849,1,1
2.638,1849,2,1
5.3020000000000005,1849,3,1
7.028,1849,4,1
10.158999999999999,1849,5,1
13.0,1849,6,1
14.458,1849,7,1
13.603,1849,8,1
11.093,1849,9,1
8.889999999999997,1849,10,1
5.7780000000000005,1849,11,1
1.923,1849,12,1
0.7490000000000001,1850,1,1
3.071,1850,2,1
4.954,1850,3,1
7.217,1850,4,1
10.004,1850,5,1
13.15,1850,6,1
14.492,1850,7,1
14.039,1850,8,1
11.505,1850,9,1
8.091000000000001,1850,10,1
4.7330000000000005,1850,11,1
2.803,1850,12,1
2.431,1851,1,1
2.508,1851,2,1
4.192,1851,3,1
7.286999999999999,1851,4,1
